N4,きぶん,気分,mood
N4,きまる,決まる,to be decided
N4,きみ,君,You (informal)
N4,きめる,決める,to decide
N4,きもち,気持ち,feeling / mood
N4,きもの,着物,a kimono
N4,きゃく,客,guest / customer
N4,きゅう,急,urgent
N4,きゅうこう,急行,speedy / express
N4,きょういく,教育,education
N4,きょうかい,教会,church
N4,きょうそう,競争,competition
N4,きょうみ,興味,an interest
N4,きんじょ,近所,neighbourhood
N4,ぐあい,具合,condition / health
N4,くうき,空気,air / atmosphere
N4,くうこう,空港,airport
N4,くさ,草,grass
N4,くださる,,to give (to me) respectful
N4,くび,首,neck
N4,くも,雲,cloud
N4,くらべる,比べる,to compare
N4,くれる,,to give (to me) simple form
N4,くれる,暮れる,to get dark / to come to an end
N4,くん,君,suffix for young male (familiar)
N4,け,毛,hair or fur
N4,けいかく,計画,plan
N4,けいけん,経験,experience
N4,けいざい,経済,finance / economy
N4,けいさつ,警察,police
N4,ケーキ,,Cake
N4,けが,怪我,an injury
N4,けしき,景色,landscape
N4,けしごむ,消しゴム,an eraser
N4,げしゅく,下宿,lodging
N4,けっして,決して,never
N4,けれど/けれども,,however
N4,げんいん,原因,source / cause
N4,けんか,喧嘩,a quarrel
N4,けんきゅう,研究,research
N4,けんきゅうしつ,研究室,laboratory
N4,けんぶつ,見物,sightseeing
N4,こ,子,child
N4,こう,,this way
N4,こうがい,郊外,outskirts
N4,こうぎ,講義,lecture
N4,こうぎょう,工業,the manufacturing industry
N4,こうこう,高校,high school
N4,こうこうせい,高校生,high school students
N4,こうじょう,工場,factory
N4,こうちょう,校長,headmaster
N4,こうつう,交通,traffic / transportation
N4,こうどう,講堂,auditorium
N4,こうとうがっこう,高等学校,High school (full word)
N4,こうむいん,公務員,Government worker
N4,こくさい,国際,international
N4,こころ,心,core / heart
N4,ごしゅじん,ご主人,Your husband (respectful)
N4,こしょう,故障,trouble / damage / breakdown
N4,ごぞんじ,ご存知,knowing / acquaintance
N4,こたえ,答,response
N4,ごちそう,,a feast
N4,こと,,thing / matter
N4,ことり,小鳥,small / bird
N4,このあいだ,,the other day / recently
N4,このごろ,,these days / nowadays
N4,こまかい,細かい,smal / fin
N4,ごみ,,rubbish
N4,こむ,込む,to be crowded
N4,こめ,米,uncooked rice
N4,ごらんになる,ご覧になる,to see(respectful)
N4,これから,,after this
N4,こわい,怖い,frightening
N4,こわす,壊す,to break
N4,こわれる,壊れる,to be broken
N4,コンサート,,Concert
N4,こんど,今度,now / next time
N4,コンピューター,,Computer
N4,こんや,今夜,tonight
N4,さいきん,最近,nowadays
N4,さいご,最後,last / end
N4,さいしょ,最初,beginning / first
N4,さか,坂,slope / hill
N4,さがす,探す,to look for
N4,さがる,下がる,to get down
N4,さかん,盛ん,popular / prosperous
N4,さげる,下げる,to lower
N4,さしあげる,差し上げる,to give (respectful)
N4,さっき,,a little while ago
N4,さびしい,寂しい,lonely
N4,さらいげつ,再来月,the month after next
N4,さらいしゅう,再来週,the week after next
N4,さらだ,サラダ,salad
N4,さわぐ,騒ぐ,to make noise / to be excited
N4,さわる,触る,to touch
N4,さんぎょう,産業,industry
N4,さんだる,サンダル,sandal
N4,さんどいっち,サンドイッチ,sandwich
N4,ざんねん,残念,disappointment
N4,し,市,city
N4,じ,字,city
N4,しあい,試合,match / game
N4,しかた,仕方,method
N4,しかる,叱る,to scold
N4,しけん,試験,exam
N4,じこ,事故,accident
N4,じしん,地震,earthquake
N4,じだい,時代,era
N4,したぎ,下着,underwear
N4,したく,支度,preparations
N4,しっかり,,firmly / steadily
N4,しっぱい,失敗,failure / mistake
N4,じてん,辞典,dictionary
N4,しなもの,品物,goods
N4,しばらく,,little while
N4,しま,島,island
N4,しみん,市民,citizen
N4,じむしょ,事務所,office
N4,しゃかい,社会,society
N4,しゃちょう,社長,company president
N4,じゃま,,intrusion / obstacle
N4,じゃむ,ジャム,jam
N4,じゆう,自由,freedom
N4,しゅうかん,習慣,custom / manners
N4,じゅうしょ,住所,an address / a residence
N4,じゅうどう,柔道,judo
N4,じゅうぶん,十分,enough
N4,しゅっせき,出席,attendance
N4,しゅっぱつ,出発,departure
N4,しゅみ,趣味,a hobby
N4,じゅんび,準備,preparation
N4,しょうかい,紹介,introduction
N4,しょうがっこう,小学校,elementary school
N4,しょうせつ,小説,novel
N4,しょうたい,招待,invitation
N4,しょうち,承知,consentment
N4,しょうらい,将来,future / prospects
N4,しょくじ,食事,a meal
N4,しょくりょうひん,食料品,groceries
N4,じょせい,女性,woman
N4,しらせる,知らせる,to notify
N4,しらべる,調べる,to investigate
N4,じんこう,人口,population
N4,じんじゃ,神社,Shinto shrine
N4,しんせつ,親切,kindness
N4,しんぱい,心配,worries
N4,しんぶんしゃ,新聞社,newspaper company
N4,すいえい,水泳,swimming
N4,すいどう,水道,water supply
N4,ずいぶん,,very / extremely
N4,すうがく,数学,mathematic / arithmetic
N4,すーつ,スーツ,suit
N4,すーつけーす,スーツケース,suitcase
N4,すぎる,過ぎる,to exceed
N4,すく,空く,to become empty
N4,すくりーん,スクリーン,screen
N4,すごい,凄い,terrific
N4,すすむ,進む,to make progress
N4,すっかり,,completely
N4,すっと,,straight / all of a sudden
N4,すてーき,ステーキ,steak
N4,すてる,捨てる,to throw away
N4,すてれお,ステレオ,Stereo
N4,すな,砂,sand
N4,すばらしい,素晴らしい,wonderful
N4,すべる,滑る,to slide / to slip
N4,すみ,隅,corner / nook
N4,すむ,済む,to finish
N4,すり,,a pickpocket
N4,すると,,then
N4,せいかつ,生活,life / living
N4,せいさん,生産,production
N4,政治,政治,politics / government
N4,せいよう,西洋,western countries
N4,せかい,世界,the world
N4,せき,席,seat
N4,せつめい,説明,explanation
N4,せなか,背中,the back (of the body)
N4,ぜひ,是非,without fail
N4,せわ,世話,to look after
N4,せん,線,line
N4,ぜんぜん,全然,not at all (in negative sentence)
N4,せんそう,戦争,war
N4,せんぱい,先輩,senior
N4,そう,,really
N4,そうだん,相談,to discuss
N4,そだてる,育てる,to rear / to bring up
N4,そつぎょう,卒業,graduation
N4,そふ,祖父,grandfather
N4,そふと,ソフト,soft
N4,そぼ,祖母,grandmother
N4,それで,,because of that
N4,それに,,moreover
N4,それほど,,to that extent
N4,そろそろ,,gradually / soon
N4,そんな,,that kind of
N4,そんなに,,so much / like that
N4,たいいん,退院,leave hospital
N4,だいがくせい,大学生,university student
N4,だいじ,大事,important / valuable
N4,だいたい,大体,generally
N4,たいてい,,usually
N4,たいぷ,タイプ,type / style
N4,だいぶ,大分,greatly
N4,たいふう,台風,typhoon
N4,たおれる,倒れる,to break down
N4,だから,,so / therefore
N4,たしか,確か,definite
N4,たす,足す,to add a number
N4,たずねる,訪ねる,to visit
N4,たずねる,尋ねる,to ask
N4,ただしい,正しい,correct
N4,たたみ,畳,a Tatami
N4,たてる,立てる,stand up / put up
N4,たてる,建てる,to build
N4,たとえば,例えば,for example
N4,たな,棚,shelves
N4,たのしみ,楽しみ,pleasure / amusement
N4,たのしむ,楽しむ,enjoy / enjoy oneself
N4,たまに,,occasionally
N4,ため,為,in order to
N4,だめ,駄目,no good
N4,たりる,足りる,be sufficient
N4,だんせい,男性,man
N4,だんぼう,暖房,heating
N4,ち,血,blood
N4,ちぇっく,チェック,check
N4,ちから,力,strengh / power
N4,ちっとも,,not at all (in negative sentence)
N4,ちゃん,,familiar suffix usually for girls
N4,ちゅうい,注意,caution
N4,ちゅうがっこう,中学校,junior high school
N4,ちゅうしゃ,注射,injection
N4,ちゅうしゃじょう,駐車場,parking lot
N4,ちり,地理,geography
N4,つかまえる,捕まえる,to seize
N4,つき,月,moon
N4,つく,付く,to be attached
N4,つける,漬ける,to soak / to pickle
N4,つごう,都合,circumstances
N4,つたえる,伝える,to report
N4,つづく,続く,continue / last
N4,つづける,続ける,to continue / go on
N4,つつむ,包む,to wrap
N4,つま,妻,wife
N4,つもり,,intention
N4,つる,釣る,to fish
N4,つれる,連れる,to lead
N4,ていねい,丁寧,polite
N4,てきすと,テキスト,text / text book
N4,てきとう,適当,suitable
N4,できるだけ,,as much as possible
N4,てつだう,手伝う,to assist
N4,てにす,テニス,tenis
N4,てぶくろ,手袋,glove
N4,てら,寺,temple
N4,てん,点,point / dot
N4,てんいん,店員,shop assistant
N4,てんきよほう,天気予報,weather forecast
N4,でんとう,電灯,electric light
N4,でんぽう,電報,telegram
N4,てんらんかい,展覧会,exhibition
N4,と,都,metropolitan
N4,どうぐ,道具,tool / means
N4,とうとう,,finally / after all
N4,どうぶつえん,動物園,zoo
N4,とおく,遠く,distant
N4,とおる,通る,to go through
N4,とくに,特に,particularly / especially
N4,とくべつ,特別,special
N4,とこや,床屋,a barber shop
N4,とちゅう,途中,on the way
N4,とっきゅう,特急,limites express train
N4,とどける,届ける,to reach
N4,とまる,泊まる,to lodge at
N4,とめる,止める,to stop
N4,とりかえる,取り替える,to exchange
N4,どろぼう,泥棒,thief
N4,どんどん,,more and more
N4,なおす,直す,to fix / to repair
N4,なおる,直る,to be fixed / repaired
N4,なおる,治る,to be cured / to heal
N4,なかなか,中々,considerably
N4,なく,泣く,to cry
N4,なくなる,無くなる,to disappear / to get lost
N4,なくなる,亡くなる,to die
N4,なげる,投げる,to throw away
N4,なさる,,to do (respectful)
N4,なる,鳴る,sound / ring
N4,なるべく,,as much as possible
N4,なるほど,,Indeed / really / I see
N4,なれる,慣れる,to grow accustomed to
N4,におい,匂い,a smell
N4,にがい,苦い,bitter
N4,にかいだて,二階建て,two storied
N4,にげる,逃げる,to escape
N4,にっき,日記,diary
N4,にゅういん,入院,be hospitalized
N4,にゅうがく,入学,enter school or university
N4,にる,似る,to be similar
N4,にんぎょう,人形,a doll
N4,ぬすむ,盗む,to steal
N4,ぬる,塗る,to paint / lacquer
N4,ぬれる,濡れる,to get wet
N4,ねだん,値段,price
N4,ねつ,熱,fever
N4,ねっしん,熱心,enthusiasm
N4,ねぼう,寝坊,sleeping in late
N4,ねむい,眠い,to be sleepy
N4,ねむる,眠る,to sleep
N4,のこる,残る,to remain
N4,のど,,throat
N4,のりかえる,乗り換える,to tansfer / change
N4,のりもの,乗り物,vehicle
N4,は,葉,leaf
N4,ばあい,場合,situation
N4,ぱーと,パート,part time
N4,ばい,倍,twice / double
N4,はいけん,拝見,to look at / find out (respectful)
N4,はいしゃ,歯医者,dentist
N4,はこぶ,運ぶ,to transport
N4,はじめる,始める,to begin
N4,ばしょ,場所,location
N4,はず,,it should be so
N4,はずかしい,恥ずかしい,embarrassed
N4,ぱそこん,パソコン,personal computer
N4,はつおん,発音,pronunciation
N4,はっきり,,clearly
N4,はなみ,花見,cherry-blossom viewing
N4,はやし,林,woods / forest
N4,はらう,払う,to pay
N4,ばんぐみ,番組,television or radio program
N4,はんたい,反対,Opposition
N4,はんどばっぐ,ハンドバッグ,Handbag
N4,ひ,日,day / sun
N4,ひ,火,fire
N4,ぴあの,ピアノ,piano
N4,ひえる,冷える,get cold / feel chilly
N4,ひかり,光,light
N4,ひかる,光る,to shine
N4,ひきだし,引き出し,drawer
N4,ひきだす,引き出す,to draw out
N4,ひげ,髭,a mustache / a beard
N4,ひこうじょう,飛行場,an airport
N4,ひさしぶり,久しぶり,after a long time
N4,びじゅつかん,美術館,art gallery
N4,ひじょうに,非常に,extremely
N4,びっくり,吃驚,be surprised
N4,ひっこす,引っ越す,to move (house)
N4,ひつよう,必要,necessary
N4,ひどい,酷い,awful
N4,ひらく,開く,to open an event
N4,びる,ビル,building
N4,ひるま,昼間,daytime / during the day
N4,ひるやすみ,昼休み,noon break
N4,ひろう,拾う,to pick up / to gather
N4,ふぁっくす,ファックス,fax
N4,ふえる,増える,to increase
N4,ふかい,深い,deep
N4,ふくざつ,複雑,complexity / complication
N4,ふくしゅう,復習,revision
N4,ぶちょう,部長,head of a section
N4,ふつう,普通,usually
N4,ぶどう,葡萄,a grape
N4,ふとる,太る,to grow fat
N4,ふとん,布団,Japanese bed / futon
N4,ふね,船,ship / boat
N4,ふべん,不便,inconvenience
N4,ふむ,踏む,to step on
N4,ふりだす,降り出す,start to rain
N4,ぷれぜんと,プレゼント,a present / a gift
N4,ぶんか,文化,culture
N4,ぶんがく,文学,litterature
N4,ぶんぽう,文法,grammar
N4,べつ,別,different
N4,べる,ベル,bell
N4,へん,変,strange
N4,へんじ,返事,reply
N4,ぼうえき,貿易,trade
N4,ほうそう,放送,to broadcast
N4,ほうりつ,法律,law
N4,ぼく,僕,I (for male)
N4,ほし,星,star
N4,ほど,,extent
N4,ほとんど,,mostly
N4,ほめる,褒める,praise / speak well of
N4,ほんやく,翻訳,translation
N4,まいる,参る,to go / to come (humble form)
N4,まける,負ける,to lose
N4,まじめ,真面目,serious
N4,まず,,first of all
N4,または,,or / otherwise
N4,まちがえる,間違える,to make a mistake
N4,まにあう,間に合う,to be in time for
N4,まわり,周り,surroundings
N4,まわる,回る,to go around
N4,まんが,漫画,japanese comic / manga
N4,まんなか,真ん中,middle
N4,みえる,見える,be seen / be visible
N4,みずうみ,湖,a lake
N4,みそ,味噌,bean paste
N4,みつかる,見つかる,to be discovered
N4,みつける,見つける,to discover
N4,みな,皆,everybody
N4,みなと,港,harbour
N4,むかう,向かう,to face
N4,むかえる,迎える,to go to meet
N4,むかし,昔,olden days / former
N4,むし,虫,insect
N4,むすこ,息子,son
N4,むすめ,娘,daughter
N4,むり,無理,impossible
N4,めしあがる,召し上がる,to eat (respectful)
N4,めずらしい,珍しい,rare
N4,もうしあげる,申し上げる,to say / to tell (respectful)
N4,もうす,申す,to be called / to say (respectful)
N4,もうすぐ,もうすぐ,soon
N4,もし,,if
N4,もちろん,,of course
N4,もっとも,,extremely
N4,もどる,戻る,to return / to go back to
N4,もめん,木綿,cotton
N4,もらう,貰う,to receive
N4,もり,森,forest
N4,やく,焼く,to bake / to grill
N4,やくそく,約束,promise
N4,やくにたつ,役に立つ,to be helpful
N4,やける,焼ける,to burn / to be roasted
N4,やさしい,優しい,kind
N4,やせる,痩せる,to become thin
N4,やっと,,at last
N4,やはり/やっぱり,,as I thought
N4,やむ,止む,to stop
N4,やめる,止める,to stop
N4,やわらかい,柔らかい,soft / tender
N4,ゆ,湯,hot water
N4,ゆしゅつ,輸出,export
N4,ゆにゅう,輸入,import
N4,ゆび,指,finger
N4,ゆびわ,指輪,a ring
N4,ゆめ,夢,dream
N4,ゆれる,揺れる,to shake / to sway
N4,よう,用,use
N4,ようい,用意,preparation
N4,ようじ,用事,things to do
N4,よごれる,汚れる,to get dirty
N4,よしゅう,予習,preparation of a lesson
N4,よてい,予定,arrangement
N4,よやく,予約,reservation
N4,よる,寄る,to visit
N4,よろこぶ,喜ぶ,to be delighted
N4,よろしい,宜しい,ok / all right (respectful)
N4,りゆう,理由,reason
N4,りよう,利用,utilization
N4,りょうほう,両方,both sides
N4,りょかん,旅館,Japanese style hotel
N4,るす,留守,absence
N4,れいぼう,冷房,air conditioning
N4,れきし,歴史,history
N4,れじ,レジ,a register
N4,れぽーと,レポート,report
N4,れんらく,連絡,contact
N4,わーぷろ,ワープロ,word processor
N4,わかす,沸かす,to boil / to heat
N4,わかれる,別れる,to separate
N4,わく,沸く,to boil / to grow hot
N4,わけ,訳,meaning / reason
N4,わすれもの,忘れ物,lost article
N4,わらう,笑う,to laugh / to smile
N4,わりあい,割合,rate / ratio / percentage
N4,われる,割れる,to break
